@id	@lon	@lat
235136762	16.0551824	48.7993844
235136766	16.0551043	48.7985638
235136772	16.0545675	48.7974090
235136778	16.0540054	48.7967744
235136785	16.0532933	48.7962140
235136790	16.0519570	48.7955334
235136801	16.0509203	48.7952191
235136803	16.0497441	48.7950179
235136817	16.0324033	48.7936957
235136825	16.0314685	48.7935441
235136833	16.0306366	48.7932821
235136839	16.0296068	48.7926766
235136847	16.0290959	48.7921560
235136852	16.0287787	48.7915837
235136855	16.0286409	48.7911642
235136862	16.0265907	48.7830207
235136870	16.0247315	48.7756150
235136882	16.0244854	48.7749888
235136890	16.0240544	48.7744347
235136899	16.0238035	48.7742065
235136908	16.0231358	48.7737780
235136913	16.0223338	48.7734556
235136917	16.0214550	48.7732602
235136923	16.0205176	48.7732037
235136930	16.0196050	48.7732868
235136938	16.0169640	48.7738040
235136944	16.0161033	48.7738474
235136950	16.0146939	48.7736584
235136954	16.0144861	48.7736020
235136957	16.0136147	48.7732412
235136966	16.0130737	48.7728856
235136973	16.0125318	48.7723208
235136978	16.0122479	48.7718250
235136986	16.0109490	48.7691182
235136990	16.0042415	48.7593768
235136996	16.0090018	48.7665218
245660489	16.1549360	48.4728308
245660491	16.1631400	48.4644408
245660493	16.1704267	48.4569809
245660495	16.1726319	48.4542617
245660496	16.1732702	48.4526828
245660498	16.1732461	48.4495478
245663886	16.1728282	48.4455168
245663888	16.1728103	48.4450691
245663889	16.1728801	48.4441705
245663891	16.1751580	48.4345728
245663892	16.1755970	48.4327212
245676001	16.1717226	48.4556361
245676003	16.1722352	48.4549612
245676004	16.1730866	48.4533088
245676006	16.1733922	48.4516148
245676008	16.1749273	48.4286159
245678204	16.1426923	48.4800470
245678206	16.1445479	48.4794287
245678207	16.1464540	48.4787542
245678209	16.1482901	48.4779468
245678211	16.1503038	48.4768248
245678213	16.1514060	48.4760789
245678215	16.1527584	48.4749947
245678216	16.1531671	48.4746240
245678218	16.1540870	48.4736989
245681068	16.1385475	48.4814942
245681069	16.1396840	48.4810532
245681070	16.1414124	48.4804750
245690504	16.0970399	48.5058374
245690505	16.1090128	48.5014814
245690507	16.1166498	48.4987078
245690509	16.1219280	48.4965784
245690510	16.1268967	48.4921588
245690512	16.1315742	48.4872393
245690513	16.1345363	48.4841736
245695938	16.0730353	48.5695155
245695951	16.0723159	48.5620268
245695953	16.0706947	48.5562511
245695954	16.0690353	48.5525319
245695956	16.0668676	48.5444860
245695958	16.0638239	48.5330918
245695959	16.0625836	48.5282558
245695961	16.0631324	48.5258656
245695963	16.0649170	48.5240735
245695964	16.0683816	48.5219350
245695965	16.0700482	48.5202535
253020608	16.1755873	48.4303311
253020609	16.1737501	48.4271581
253020713	16.1756739	48.4322713
253020874	16.1731563	48.4486863
253021060	16.1589161	48.4687600
253340624	16.0737511	48.5708067
253340625	16.0726654	48.5683207
253899903	16.0748120	48.5720694
255229636	16.0662056	48.5419830
256204134	15.9666360	48.6977085
256208600	16.0884835	48.6059149
256208601	16.0871696	48.6038636
256208602	16.0867502	48.6025013
256208603	16.0869975	48.5993641
256208604	16.0880494	48.5959187
256208605	16.0882739	48.5915564
256208607	16.0844684	48.5798158
256208608	16.0839397	48.5791629
256209457	16.0328289	48.6571473
256209460	15.9753379	48.6729394
256209461	15.9772566	48.6724120
256209462	15.9808054	48.6708622
256209463	15.9828987	48.6699348
256209464	15.9838163	48.6696723
256209465	15.9860407	48.6696551
256209466	15.9879089	48.6703943
256209467	15.9901404	48.6723597
256209468	15.9923050	48.6734106
256209469	15.9939596	48.6735172
256209470	15.9965598	48.6729042
256209471	16.0005615	48.6717183
256209472	16.0019804	48.6713016
256209473	16.0063435	48.6706220
256209474	16.0150788	48.6705360
256209475	16.0170271	48.6703571
256209476	16.0208103	48.6694125
256209477	16.0224069	48.6687192
256209478	16.0253562	48.6666800
256209479	16.0273544	48.6642680
256209480	16.0309563	48.6595839
256209481	16.0411775	48.6483768
256209482	16.0438419	48.6456796
256209483	16.0448215	48.6448209
256209484	16.0468508	48.6438713
256209485	16.0655200	48.6395573
256209486	16.0713715	48.6380881
256209487	16.0745461	48.6364962
256209488	16.0763443	48.6349896
256209489	16.0781645	48.6319867
256209491	16.0797057	48.6268106
256209492	16.0825621	48.6242508
256209493	16.0889488	48.6204696
256209494	16.0913343	48.6177606
256209495	16.0920793	48.6152533
256209496	16.0925929	48.6129217
256209497	16.0925818	48.6107099
256209498	16.0920033	48.6095423
256209499	16.0901152	48.6075519
256209716	15.9629922	48.7035549
256209717	15.9648547	48.7006080
256209718	15.9699049	48.6925748
256209719	15.9709316	48.6908438
256209720	15.9706368	48.6872962
256209721	15.9687022	48.6848188
256209722	15.9665378	48.6834517
256209723	15.9634983	48.6823287
256209725	15.9590549	48.6801625
256209726	15.9586069	48.6780524
256209727	15.9591310	48.6771156
256209728	15.9612247	48.6758238
256209729	15.9650285	48.6748498
256210215	15.9710237	48.6886940
256210372	15.9484519	48.7410724
256210373	15.9478307	48.7395654
256210374	15.9488675	48.7367215
256210375	15.9510133	48.7344157
256210376	15.9588716	48.7259389
256210377	15.9638914	48.7206904
256210378	15.9689272	48.7166726
256210379	15.9715926	48.7111677
256210380	15.9713169	48.7099455
256210381	15.9705130	48.7091095
256210382	15.9638220	48.7074228
256210383	15.9623873	48.7051911
256210812	15.9540777	48.7445692
256210821	15.9539898	48.7491281
256210822	15.9549121	48.7460505
256210823	15.9544233	48.7449186
256210824	15.9671118	48.7182478
256210825	15.9655663	48.7080451
256211048	15.9660128	48.7616161
256211049	15.9676564	48.7615817
256211050	15.9694027	48.7611554
256211052	15.9775107	48.7579714
256211053	15.9804695	48.7568885
256211054	15.9825038	48.7565287
256211055	15.9841795	48.7564556
256211057	15.9886160	48.7563649
256211058	15.9920133	48.7555606
